,header,review,rating,recommend,country,date
0,excellent service,excellent service ground board first class product might leading edge service around entire experience well worth cost ticket concorde room heathrow well managed great place relax prior trip flight slightly delayed heathrow arrived schedule johannesburg, 9,yes,United Kingdom,2023-01-24
1,sound dinner service,good lounge cape town time departure drink high quality sound dinner service breakfast reasonable arrival lounge good shower cold, 9,yes,United Kingdom,2023-01-24
2,really excellent journey,really excellent journey lounge overcrowded late afternoon plenty edible food easy boarding new club world suite great compared last travelled year ago food drink back previous standard choice individual wine rather bland blend course served individually cut glass china beef cheek really tasty surprisingly good soup crew excellent good choice movie breakfast good night sleep fruit etc first manage full english offered arrival time could want quite gulf standard overall ba seems eventually got business class back standard, 9,yes,United Kingdom,2023-01-23
3,flight one worst,flight one worst ever life wanted pamper bought business class looking forward new experience mention chaos changing gate several time thing may happen surprised lack attention passenger flight delayed almost 3 hour even though staff offered voucher idea get told 10 minute use boarding already begun firstly see anyone voucher secondly even got able use finally got airport another waiting 30 minute cross check meantime told due problem load food flight without food board food offered given everyone plane small bag nut business class passenger offered drink business class contained 3 small glass juice received apology compensation company disgraceful cheap service expensive price, 2,no,United Kingdom,2023-01-21
4,race bottom,seems race bottom amongst airline even check ba requires submission document covid restriction however form start submission process hopelessly broken clicking submit form hang forever error message given tried three different browser three different device hang mean check online select seat tried using chat bot 30 minute clicking try thought donated enough time ba, 3,no,United States,2023-01-19
5,need cancel ticket rebook,spanish born individual living england using british airway 3 decade multiple time year 12th january 2023 booked flight son go alicante however informed 17th january 2023 doctor unable fly due elbow operation result decided give ticket daughter calling customer service team british airway make change 18th january 2023 took enquiry call seemed speech delay call presented small bit difficulty however also struggled understand support staff member top delay requesting change name one ticket daughter name told within policy would need cancel ticket rebook encouraged divide booking son two different booking reference number accepted asked would like cancel booking insisted would need know total refund lucky ask check informed would roughly 9 00 total cost booking 394 64 come 197 32 per passenger leaving refund total le 3 value purchase despite seat abandoned according ba policy entitled simple change name le 3 refund even buying ticket right back phone probably money worth week ago, 2,no,United Kingdom,2023-01-19
6,friendly cabin crew,rather empty quiet flight tel aviv friendly cabin crew due emptiness flight entire row allowed work easily much space required unfortunately upon landing break overheated wait fire crew cool delayed u otherwise overall excellent flight ba part first time flown flight actually taken correct time, 9,yes,United Kingdom,2023-01-18
7,good drink food service,easy check staff member polite helpful made specific point acknowledging loyalty ba security london fast gallery north fine shower good organised flight boarding plane fine good crew new club world product wife damaged storage area otherwise ok take good drink food service well run slept well time arrival found new seat design harder sleep, 9,yes,United Kingdom,2023-01-17
8,let use lounge,silver flyer booking flight ba dublin would thought could use lounge even though ba used air lingus flight travelled recently situation allowed kind gentleman desk even though said gold really accommodating big deal two lady desk like empathy saying guy let word come ba booked flight made fly air lingus let use lounge silver flier, 1,no,United Kingdom,2023-01-17
9,find ba incredibly tacky,find ba incredibly tacky constantly looking way get money customer travelled using major airline whole life although know sound silly 4 hour flight major airline expect form beverage snack curtesy port charge phone pay insane price luggage inflight entertainment aircraft snug challenged pay drink inflight entertainment told short haul fight sister met cairo hour half flight flew egyptair somehow received luggage allowance drink food inflight entertainment well usb port charge phone ba realise stand budget airline staff great got money much, 3,no,United Kingdom,2023-01-16
10,flight disappointing,flew atl lhr 8th jan 2023 unlucky enough board 23 year old 777 refit gave decent ife screen seat looked decent although combine ife cheap nasty earbuds movie ruined headrest great pity little padding used seat wife uncomfortable leg room general poor especially passenger keep seat reclined start finish zero room aircraft tired rubber spacers falling silicone sealer falling apart toilet toilet seat old stained rubber arm rest hanging post take drink snack offered meal sent couple hour poor chicken cube reminded dog food mashed potato purified within inch life stale rock hard roll salad rice carrot dried cracker cheese kid meal sad tiny leaf salad enough dressing refloat shipwreck coffee creamer given kid meal snack decent adult bagel cheese egg hot tasty kid snack green wrap spinach onion poor mix food ba service grunt crammed seat 7 hour landing remote stand enduring bus terminal ba opinion terrible flight disappointing one great member cabin crew everything else average, 4,no,United Kingdom,2023-01-09
11,average airline,great thing british airway a380 economy section upstairs get allows small stowage cupboard window seat despite old a380 looked tired inside broken side stowage seat reclined uncontrollably slow react ife food supposed christmas dinner 3 wafer thin bit dry turkey 4 cooked sprout cubed potato poor taste quality mousse desert great though slight issue snack meal ordered child option marked regular meal arrived well exactly asked crew member told difference sticker box staff ok couple decent mostly ok overall ba seems tad cheap day great sit upstairs enjoyment ended seemed bit dull like ba average airline, 5,no,United Kingdom,2023-01-08
12,luggage delayed,staff friendly plane cold shivering gave light blanket enough meal basic entertainment basic luggage delayed today day 6 ba staff phone say call 72 hour tracking system vague extract information staff arrived vancouver jan 2nd offered collect baggage vague answer call airport asked ba phone number yvr said phone number call call main airport policy state make claim 21 day, 1,no,Canada,2023-01-06
13,worst business class experience ever,probably worst business class experience ever airline issue required purchase seat international club world business class made known ticket purchase process cost additional 600 single leg lhr lax family four given strange business class seating layout ba a380s leaving seat selection change could disastrous family ridiculously long boarding time even small aircraft vie lhr leg boarding time a320 50 minute long leading delayed departure urgency part staff speed boarding time severe overcrowding boarding area satellite c terminal 5 heathrow boarding staff would allow passenger enter roped queue area boarding idea crowding extreme overall boarding area far small a380 believe satellite designed built first a380s delivered online check advance flight appears completely broken urged repeatedly ba website via email text upload covid document even though end 2022 covid document required travel filled basic contact information website upload covid documentation informed several hour later covid document verified received another text message urging upload covid documentation vie lhr leg shop ba com page one directed attempting connect wifi plane indicated ridiculously incorrect remaining flight time six hour four hour landing ba lounge club europe club world heathrow often seriously overcrowded furniture carpeting finish club worn dirty said food lounge pretty good quality food quality ba lounge heathrow may redeeming thing airline onboard food beverage service far average international business class terrible one might say lhr lax leg pre meal beverage service mid flight beverage service unlike business class offering airline taking meal order flight attendant beginning flight meal brought haphazardly shortly take chicken fish type meal selection similar economy class coffee tea service meal food quality poor pre landing snack ploughman lunch downright disgusting beverage bar set galley area beverage available passenger flight standard international business class offering even bottle water seemed hidden away requiring one ask flight attendant water comment bizarre seating layout a380 others rightly panned awkwardness extremely poor design seating seat 6 2 long stated ba website found seat short 6 2 height priority luggage tag followed baggage delivery, 1,no,United States,2023-01-02
14,recommended business class,definitely recommended especially business class seat ridiculous small food mediocre good luck internet even pay full internet entire flight service however great attendant saved cry know designed aircraft expensive business class order move middle seat go bathroom must rudely climb person leg sitting aisle seat seat like enclosed tiny cubicle storage space unfortunately traveled british airway business class least 4 time within last 4 month never unless choice way business class lounge south heathrow cattle pen, 2,no,United States,2023-01-02
15,surprisingly good product,ba shuttle service across uk still surprisingly good product compared ba long haul always get best comment time reasonable priced work well fresh crew queue long distance walk know still offer covid style bottle water snack stretching cup tea snack would great add service currently line sky cafe fiddly work get connected short trip, 8,yes,United Kingdom,2023-01-02
16,maybe old charm return soon,must admit like many others tend avoid ba long haul possible due many poor review first ride ba a380 day exception say aircraft immaculate economy seat really comfortable ife work interesting anyway got map screenshot lunch poor quality plenty nice white wine alcoholic drink made cabin crew pleasant poor grooming let skirt trouser suit long sleeve short jacket waistcoat cardigan time could done better think baggage delivery really quick summing well still coming back ba yet maybe old charm return soon, 6,no,United Kingdom,2023-01-01
17,pay reserve specific seat,ba update business class cabin 8 across 777 much travelling facing backwards cabin staff pas food tray across front passenger paying business class fare pay reserve specific seat antiquated idea cabin staff fine food acceptable check ok business lounge breakfast acceptable lack space seating area small screen disfunctional entertainment equipment disappointing step reclining passenger foot attractive, 4,no,United Kingdom,2022-12-30
18,upgrade worth,paid 200 day flight upgrade economy premium economy checkin could find booking little wait rang someone explains upgrade get deleted system checkin agent see took 5 minute resolve seat nice enough stowage pocket front bit small food reasonably nice shame bathroom way back economy bit queue ife system good selection mediocre worst part flight cpt remote stand bussed passport control quickly took absolute age get luggage ruined would otherwise reasonable flight upgrade worth 200 maybe 300 long flight offer 2000 whatever premium economy comedy pricing score luggage fiasco would 7 8 10 luggage fiasco rate 4 10, 4,no,United Kingdom,2022-12-29
19,disappointing meal,ba website work weirdly deleted flight upcoming flight day departure chaos cape town airport hundred queuing computer chaos gate queue management premium passenger nice new a350 smart new club suite champagne warm cabin crew said impossible serve cold true air france manage disappointing meal wine served late food finished time arrives cheese ice cold tasteless champagne white wine fridge used cheese good ife system mediocre film selection disappointing breakfast overall 3 10 flew air france business month way better sad become ba, 3,no,United Kingdom,2022-12-29
20,minimal communication team,absolutely terrible experience british airway short flight london heathrow frankfurt get suitcase time next flight cathay pacific melbourne despite 3 hour gap two flight told would arrange suitcase transferred directly melbourne instead got hong kong left finally tracked sent back london happened christmas stressful yet minimal communication team plane crew may lovely service outside nothing short dreadful given option avoid flying future, 1,no,United Kingdom,2022-12-29
21,felt misguided misinformed,vancouver delhi via london booked fly vancouver new delhi via london heathrow dec 22nd received email dec 20th informing u industrial action uk called find may impact travel representative kind scared u possibly stranded travel offered u full refund called confirm option offer solution asked cancel ticket told u cancellation fee booked new ticket another airline double cost trip urgent simultaneously told u longer cancel ticket system promised u make happen told u would get full refund processed cancellation 5 hour later emailed u ticket cancelled suggested cancel new ticket found another airline lost 1000 cancelling new ticket representative claimed never said service available asked u worrying industrial action arrangement made issue new information never given u kept british airway ticket next day asked speak manager report misguided whole situation never heard back manager logged check 15 hour take found van lhr flight cancelled due bad weather vancouver receive email airport airline change called ba asked rearrangement flight offered rebooking additional 700 1000 per person price difference date offered 7 day original flight supposed leave additionally cancel rest flight could reach since first flight cancelled pay 1000 cancellation fee get refund frustrated overall experience accommodation accountability wanted charge u service change possible phone 1 5 hour flight could booked getting sold customer service person would take 15 20 minute real search question option asked frustrating experience lost time money ruined holiday completely demanded speak manager want take accountability team gave u small discount cancellation fee total phone 2 day back forth without resolution felt misguided misinformed unfair policy towards customer feel taken care pay price misinformation flight cancel trouble spent christmas without family missed urgent reason travelling, 1,no,Canada,2022-12-28
22,flight perfectly time,old a320 narrow pitch flight perfectly time constant announcement cockpit friendly staff free chip water quick luggage delivery t5, 8,yes,France,2022-12-24
23,treat customer like idiot,another ba shamble started well excellent check first t5 mid afternoon avoided early morning evening scrum concorde lounge excellent service great choice cocktail wine etc food ok bit overcooked pretty reasonable called boarding gate chaos people jostling position get plane people child 5 called 8 people first bankrolling flight well 5 get told none light first dimmed light night like detained interrogated excellent wine champagne selection dinner menu handed prawn cocktail start please loaded one 8 people guy 1a got bet felt like lottery ok beef wellington basically freezing slice beef lettuce main curry substituted christmas dinner going maldives get away christmas ended short rib inedible salad starter water offered bread roll eat basically husband spent 20 000 2 return seat blinded light left starving apology watch ba virgin start flying direct october always rest laurel treat customer like idiot, 3,no,United Kingdom,2022-12-22
24,cancelled 4 hour take,ba cancelled flight home heathrow dec 19th face sensible weather iceland appalling however acceptable flight cancelled 4 hour take time time already struggling dreadful driving condition get airport got nowhere near condition became bad taken advice would spared everyone need try travel road ended closed booked onto flight 21st downgraded sin checked today type cancelled flight 20th despite road keflav k closed check thing help ba offered really, 1,no,United Kingdom,2022-12-20
25,use airline,ba cancelled flight home last flight day heathrow tried push onto another flight london city 3 hour later car heathrow want try cross london late night public transport luggage especially rail strike announced around time book flight home lufthansa cost 500 economy seat least got home heathrow another terminal friday night could get home family still news refund 500 2 month shame flying ba used pleasurable experience ba cancelled moved one leg every journey booked year regrettably use airline much better reliability customer service, 1,no,United Kingdom,2022-12-19
26,suitcase arrive,turned 3 5 hour advance terminal 5 london heathrow already carnage 100 people trying check 5 desk manned long queue security due 4 line open people stressed pushing shouting flight delayed 2 hour according pilot delay due suitcase needing loaded missed connecting flight doha 12 hour wait til next one received voucher approx 6 whole day arrived 1 day later suitcase arrive filed claim desk 5 day update information offer compensation solution offer spoilt holiday many personal belonging gone xmas gift missing extensive expense know reimbursed beware ba expect low level zero customer service old plane zero help anything go wrong missing personally avoid ba future cost, 2,no,United Kingdom,2022-12-19
27,cabin crew treated passenger inconvenience,boarding gate lgw called group 1 board world traveller plus group 3 called anyone group 2 6 whereupon everyone else surged forward numbered boarding group use cabin crew treated passenger inconvenience moved plane one point passenger coming toilet crew member approached crew member pushed door closed pushing back toilet went past without even word acknowledgement stood aside let past service final row six wt total 48 seat lunch meal brought last people served unusual back row seat came u vegetarian option left 3 menu option cabin steward said given 48 wt meal second hot meal served landed server got u last vegetarian option left asked might possible commence serving second meal back front choice least one meal said thought food inedible vegetarian cannelloni pasta thick uncooked neither u could eat bread roll crispy like toast bottom half soft top half thing could eat baby bel meal snack consisted 2 biscuit pack shortbread pretty basic drink ran red wine 4 hour 11 hour flight toilet toilet accessible directly wt section walk halfway plane economy reach shared toilet flew virgin atlantic 2 month equivalent premium economy much better organised boarding sparkling wine orange boarding water orange ba food option available even last row seat better food proper glass cup drink dedicated toilet access help snack helpful service cabin crew looking fly ba virgin future, 2,no,United Kingdom,2022-12-19
28,luggage finally delivered thursday,missing baggage customer service worst ever experienced arrived back phoenix sunday evening air tag showed bag arrived monday took three day finally delivered understood due delay caused freezing fog london luggage make onto final flight filled required form phoenix airport attempted fill one online received message saying bag already reported missing enter tracking code sent via email email received made phone call daily told message sent hear back within 24 hour finally email tracking number received tuesday night went online tracking number wednesday requested provide information given form airport luggage finally delivered thursday afternoon, 5,no,United States,2022-12-17
29,improvement needed ground staff2,british airway flag carrier used check staff club europe area display premium service provide good overall service gallery south lounge busy food good good array salad pasta bread hot food available festive turkey ham pie particularly good flight delayed lhr busy tuesday evening boarding process stressful due lack queue management system majority passenger congregating around gate despite ba using group system board took almost 1hr board 240 passenger flight good good club meal service bar service good seems ba done away champagne board also lounge menu handed prior departure good food offering length flight food good beef cheek served vegetable chosen ba always excelled catering changed seat standard economy seat table middle seat club europe standard practice ba seat comfortable limited leg room cabin clean presentable tidy issue a321 featured wi fi contains good landing page flight information access speedbird cafe menu access ba com good pricing strategy wither messaging streaming also overall airline still good world player clear improvement needed ground staff cabin manager good crew club display expected behaviour business class kept touching face making eye contact passenger seemed uninterested like want, 6,yes,United Kingdom,2022-12-14
30,appallingly uncomfortable flight,stupidly tried ba five year gap paid 7000 wife go barbados thought new business class layout might rival virgin atlantic route six month ago ba announced switching plane old antique push pull layout late reorganise holiday logistics sure enough suffered appallingly uncomfortable flight room eight seat across worn fitting inedible food surly fa, 1,no,United Kingdom,2022-12-12
31,cabin crew good,seat horribly narrow 3 4 3 777 thankfully flight quarter full able stretch food beverage service good great proper beer cup froth overflow cabin crew good booked ba ticket included travel qatar airway well, 8,yes,New Zealand,2022-12-12
32,late delayed,glasgow london delayed 1 hour wife accept ba flight late delayed rarely time long accept disappointed planning ahead high risk delay connecting another airline oneworld extremely risky, 3,no,United Kingdom,2022-12-10
33,learned lesson late ba upgrade,tried check online offered upgrade premium economy 300 decided take website allow choose seat check phoned ba happy call picked quickly told changed booking check airport turned three hour flight told two adjacent aisle seat economy switched middle seat row four premium check agent helpful fix suggested try ba desk airside desk understaffed reach front line told try boarding gate gate finally managed get one aisle seat one window sitting together going flight surprisingly good decent food good service flew back economy bad either flight attendant friendly enthusiastic emma daniel looked u could better obviously learned lesson late ba upgrade everything else good, 6,yes,United Kingdom,2022-12-10
34,curtain business economy class,flew prague lhr excellent service attentive staff first drink service meal service choice three meal later second drink service reality excellent flight couple day later flew back lhr prague boarding lhr t5 total chaos onboard service really called service curtain business economy class later caused people endlessly passing get toilet meal service could get unprofessional 5 row took two guy nearly 30 min serve constantly interrupted people passing toilet time yet know meal choice one bother talking served afternoon tea consisting three canape like bite drink would bother serving also scone hardly 5 min plate taken away asked scone came surprise served co ordination crew crew busy chatting galley reality service could get worse one must ask pay premium price, 3,no,Czech Republic,2022-12-09
35,electronics poor,disappointing especially business service ancient one world lounge catastrophe heathrow business class seat similar economy electronics poor onboard, 4,no,United Kingdom,2022-12-09
36,even order food drink,outbound return flight offered decent meal received tiny bag chip small bottle water outraged u return flight even order food drink card reader function first last time fly ba, 3,no,United Kingdom,2022-12-08
37,bag never showed,flying warsaw one day meeting would flying back miami next day initially flight delayed denver 3 hour knew would miss connection warsaw denver heathrow flight terrible plane dirty economy usually fly business premium economy flight availability plane 2 3 full service good food inedible seat cramped although middle seat open made tolerable arrived heathrow complete circus passenger everywhere trying rebook missed connection flight multiple flight missed connection waiting line hour finally rebooked another ba flight warsaw plane smallest 3x3 plane seen packed like sardine bag never showed cancel meeting bag fly back miami ba shown desire help give standard answer hopefully bag show miami point retrieve mean bag sitting heathrow somewhere 6 different fight option get warsaw yet ba unwilling anything expedite getting bag warsaw leave miami next day, 1,no,United States,2022-12-03
38,eventually make good promise,booked ba holiday marrakech posting negative review regarding double tier point credit confirm point credited took ba eventually make good promise thank based thing resolved travelled ba since booked travel south africa first class 2nd january looking forward new ba concorde lounge keep ba loyalty indeed 2way street, 9,yes,United Kingdom,2022-11-30
39,extremely sub par service,extremely sub par service highlight online meal selection staff pretty much dropped whatever meal rude passenger wanted changed last meal delayed last 40 minute flight plate literally grabbed away hand unfinished plate staff dropped apology offer napkin scrounge piece paper clean jacket none passenger told straighten seat meal seat tilted could barely keep plate tray without thing slipping staff walked water biscuit got exhausted got looked walked away nothing offered, 2,no,United States,2022-11-28
40,service excellent,virtually gave british airway three year ago writing avios opting airline return flight heathrow lisbon week good aircraft pretty much full service excellent food surprisingly good particular shout flight attendant called jo team back enthusiastic attentive going start spending avios, 7,yes,United Kingdom,2022-11-26
41,thoroughly enjoyed flight,pleasantly surprised airline could maintain steady schedule little delay considering time year weather flight montreal return flight scotland originally booked fly toronto airline helped cancel rebooked cheaper flight inflight service pretty decent andthey offer blanket pillow well walk cabin offering drink handing small snack prior leading meal service food typical air plane food thoroughly enjoyed flight issue flight, 7,yes,Canada,2022-11-25
42,let check 24 hour,british airway late website atrocious let check 24 hour flight trying 6 hour check website find real person speak customer service thick accent think speaking english, 1,no,United States,2022-11-23
43,honestly never fly help,flew amman london nov 14 2022 sure type aircraft ticket economy plus flight 5h35m received exactly 250ml water 10 potato chip seat recline entertainment system food drink purchased even get warm cup coffee tea third time flown ba recently unhappy time write review honestly never fly help, 4,no,Canada,2022-11-19
44,unprofessional renowned airline like ba,worst experience ever airline flew british airline august 21st 2022 one checked bag lost heathrow airport aware time system error baggage belt many traveler affected filed report missing bag day arrived lax airport august 21st waited patiently three week time frame either find bag eligible compensation receive update lost bag filed claim compensation september 11th since waiting response customer relation good sign resolving issue emailed tried update claim still response today contacted baggage team helpful ease prolonged waiting way contact customer relation via website even getting back every time talk customer service agent tell wait waiting almost three month issue resolved yet whole experience hassle unprofessional renowned airline like ba, 1,no,United States,2022-11-19
45,lounge overcrowded worn,flying lhr t5 cpt november 2022 ba app website working properly would load ticket lhr t5 smooth calm checking process quick boarding card would scan security gave one someone else different destination ran back checkin get correct one bag also tagged incorrectly disappeared someone ran find bag depth t5 retag amazingly show cape town told main lounge open b c pier lounge turn false information b pier lounge open main lounge overcrowded worn arrived late gate train working biz class lane quick giant queue get plane one airbridge two seat comfy cabin clean sink taped waste working offered hand sanitiser instead disgusting imagine going bathroom able wash hand sink unbelievable ba dispatch plane condition food average wine served way late choice wine cold food eat food first matching wine come quarter hour later overall experience 2 10 flew air france fortalaza cdg lhr two week earlier way better embarrassing ba, 2,no,United Kingdom,2022-11-18
46,uncomfortable trip,worst experience ever outbound flight cancelled notified rebooked uncomfortable trip inbound flight delayed 1 hour also notified top boarded hand luggage bag extra wait milan food horrible, 1,no,Italy,2022-11-07
47,rate mediocre journey,check shamble bwi 3 counter open full flight bag drop queue even longer regular check queue boarding done zone carried reasonably well board fa fine engaging outbound flight iad aircraft cramped seat economy horrible seated aisle seat row f entertainment box taking third legroom overall cramped seat poor legroom awful ife screen meal mediocre bar service meal time lading served hot sandwich oozing cheese wrapper pleasant handle tasted good plane landed remote stand meant bussed t5 since raining nice experience overall rate mediocre journey, 5,yes,Malaysia,2022-11-07
48,baggage yet delivered 5 week,beyond disgusted fact baggage yet delivered 5 week email call ba two piece reported 29th september ba response generic non specific attempt speak customer service worker obstructed airline touting value claiming yo one best world disgraceful fully describe customer service, 1,no,United Arab Emirates,2022-11-05
49,misplaced luggage wedding trip,july 19th 2022 submitted complaint form regard fact ba misplaced luggage wedding trip italy lost 2 day incurred additional expense retrieving provided copy receipt requested expense reimbursed agreed sent requested information told 2 week receiving 4 month later british airway processed reimbursement stopped answering follow ups matter, 1,no,United States,2022-10-31
